Ligand,Binding Affinity,rmsd/ub, rmsd/lb
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.9,0.0,0.0
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.8,20.377,17.105
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.8,19.697,17.175
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.7,29.138,26.321
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.7,30.621,28.142
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.6,31.557,28.431
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.6,6.93,4.767
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.4,20.519,19.064
AF-P00338-F1-model_v4_model1_91753446_uff_E=211.89,-5.3,5.113,2.93
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.2,0.0,0.0
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.2,3.123,1.93
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.2,10.133,8.841
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.1,2.728,1.23
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.0,3.984,2.621
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-5.0,2.957,1.841
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-4.9,4.433,2.791
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-4.9,19.392,17.85
AF-P00338-F1-model_v4_model1_93009_uff_E=463.97,-4.8,21.323,19.808
